,name,played,run_bat,50s,100s,batted,out,bowled,wkt_tacken,5_wkt_taken,run_given_bowler,econ,over
289,c kieswetter,24,708,4,1,24,23,0,0,0,0,0.0,0.0
290,sohrawordi shuvo,11,59,0,0,7,5,11,11,0,355,4.238417968749999,72.0
291,jc tredwell,5,27,0,0,3,2,5,4,0,200,5.7524999999999995,37.0
292,a shahzad,9,33,0,0,7,6,9,15,0,406,4.9017578125,80.1
293,le plunkett,2,20,0,0,1,1,2,2,0,61,5.45,12.0
294,sl stewart,4,26,0,0,4,4,0,0,0,0,0.0,0.0
295,da miller,13,183,1,0,11,8,0,0,0,0,0.0,0.0
296,ut yadav,7,17,0,0,2,0,7,11,0,360,6.4565625,60.2
297,ab dinda,3,2,0,0,2,2,3,3,0,125,6.4475,21.7
298,nv ojha,1,1,0,0,1,1,0,0,0,0,0.0,0.0
299,r ashwin,23,160,0,0,12,8,23,38,0,1012,5.120912907123566,211.1
300,pankaj singh,1,3,0,0,1,0,1,0,0,45,6.42,7.0
301,bmaj mendis,15,170,0,0,14,10,15,10,0,404,4.890841674804687,82.0
302,ld chandimal,13,384,1,2,13,12,0,0,0,0,0.0,0.0
303,shahzaib hasan,3,100,1,0,3,3,0,0,0,0,0.0,0.0
304,umar amin,3,34,0,0,3,3,0,0,0,0,0.0,0.0
305,imran farhat,10,289,3,0,10,10,1,1,0,21,0.008203125,5.0
306,asad shafiq,21,530,3,0,20,19,0,0,0,0,0.0,0.0
307,abdur rehman,8,15,0,0,6,4,8,5,0,308,4.0171875,71.0
308,jahurul islam,3,78,0,0,3,2,0,0,0,0,0.0,0.0
309,hmrkb herath,8,17,0,0,4,3,8,9,0,334,5.4428125000000005,73.2
310,mh yardy,19,261,2,0,17,10,19,13,0,786,5.329406776428224,153.0
311,jr hazlewood,1,0,0,0,0,0,1,1,0,41,5.85,7.0
312,faisal hossain,1,8,0,0,1,0,1,0,0,26,4.21,6.1
313,ks williamson,13,318,0,1,13,12,7,1,0,90,0.6113671875,16.0
314,bj watling,6,84,1,0,6,6,0,0,0,0,0.0,0.0
315,mohammad irfan,2,3,0,0,1,0,2,0,0,77,6.215,12.3
316,mohammad hafeez,33,1132,7,2,33,32,31,34,0,902,2.2838898570695894,242.0
317,hk bennett,9,7,0,0,6,2,9,16,0,382,5.642734375,68.19999999999999
318,r vinay kumar,13,23,0,0,4,3,13,14,0,515,6.68784912109375,89.3
319,jw hastings,11,82,0,0,9,5,11,8,0,410,3.53951171875,91.0
320,ma starc,2,0,0,0,0,0,2,4,0,78,4.385,17.5
321,s dhawan,5,69,1,0,5,5,0,0,0,0,0.0,0.0
322,ss tiwary,3,49,0,0,2,0,0,0,0,0,0.0,0.0
323,zulqarnain haider,4,48,0,0,4,2,0,0,0,0,0.0,0.0
324,ca ingram,8,184,0,1,8,6,0,0,0,0,0.0,0.0
325,rj peterson,9,84,0,0,7,5,9,17,0,357,4.37984375,73.5
