,winner,toss,ground,strength,bat_strengthA,ball_strengthA,bat_strengthB,ball_strengthB
216,1,1,2,-1.69527,6.0401,1.07197,5.93106,1.57392
217,1,0,2,-0.61912,3.8009,3.66025,5.49811,4.30455
218,0,0,1,-1.72785,1.70065,1.54018,3.25291,4.42665
219,1,0,0,-0.42062,4.1161,3.04067,5.09356,3.28099
220,1,0,1,-0.46003,3.19085,2.6103,4.63253,2.42708
221,0,1,0,-1.46567,3.7557,2.07471,5.33191,3.40103
222,0,1,2,-0.56239,3.18962,2.62756,4.48048,2.79105
223,1,1,1,-0.83005,3.58355,2.59939,4.69207,3.67536
224,1,0,1,-1.44929,3.38005,1.72634,3.85283,4.31949
225,0,1,1,-0.98573,3.8468,1.79346,3.85955,3.29833
226,0,1,0,0.09801,2.50886,2.81345,3.93653,1.67571
227,0,1,0,-2.39365,3.12545,1.97199,6.42006,3.62589
228,0,1,0,-0.57503,3.12784,1.95805,5.67594,1.34604
229,1,0,1,2.8911,4.80493,2.96421,6.58015,0.94012
230,0,1,0,-3.37265,3.29184,1.23976,5.16732,4.13882
231,0,1,1,1.69305,4.2418,3.0114,6.47324,1.10388
232,0,1,0,-3.91847,3.47617,1.07593,5.46227,3.00108
233,0,0,2,-1.77461,3.89069,1.86814,5.46097,3.38731
234,0,0,1,-0.98646,3.61691,2.82881,5.4511,3.84559
235,0,1,2,-0.37163,2.72556,3.11068,3.8453,3.15266
236,1,1,1,-0.20812,3.83127,4.28526,5.28088,3.7407
237,1,1,2,-0.02898,2.85657,3.94339,4.198,2.75842
238,1,1,1,0.09818,4.21293,3.5347,5.08166,2.7431
239,1,1,2,-1.25441,4.4548,2.28919,6.76047,2.62231
240,1,1,2,-0.50332,4.23036,2.20916,7.53202,1.45567
241,0,1,0,-0.12136,4.01759,3.59099,4.85426,3.2652
242,0,1,1,-2.78174,2.66413,1.48109,4.89776,5.07329
243,0,1,0,-1.57174,3.33963,2.48571,5.67517,4.69458
244,1,1,1,0.03398,3.53867,3.33115,3.92802,2.9169
245,0,1,0,-0.4621,4.18919,3.4399,5.76125,3.45433
246,1,0,1,3.1129,4.82119,3.31564,5.28627,1.02421
247,0,1,0,-0.18952,3.7077,4.20573,5.02185,3.69097
248,0,1,2,-3.70272,3.98964,1.18957,5.5049,4.31355
249,0,1,0,-4.411,2.10103,0.72527,3.63021,3.53536
250,1,0,1,-0.82009,3.24119,3.01781,5.33134,3.42429
251,0,0,0,0.70017,3.88226,3.30265,5.44863,1.65206
252,1,1,1,-0.23381,3.50356,3.16348,4.63157,2.84781
253,0,0,1,0.44267,3.31873,1.4079,5.62682,0.74758
254,1,0,1,-1.39759,4.23879,2.05127,6.10848,2.68226
255,1,1,0,-0.96707,3.92545,2.62946,4.46355,5.37406
256,0,0,2,-2.76053,3.64108,1.52749,5.45443,4.49338
257,0,0,0,-1.16638,3.68204,1.94075,4.12133,3.84669
258,1,0,1,-1.20495,4.58238,2.39532,5.33179,4.48825
259,1,1,1,-0.59648,4.78005,2.64251,6.83353,2.40261
260,1,0,1,-0.7593,3.20364,3.14969,4.7314,4.31244
261,1,0,1,-0.60691,4.97656,2.53579,4.75018,3.92987
262,1,1,2,-0.17489,4.55936,3.03857,6.0198,2.52423
263,0,1,0,-1.16044,2.72877,2.82789,5.18488,4.05437
264,1,0,2,0.05511,4.84322,2.7652,5.13846,2.53126
265,1,1,2,-0.59594,3.43968,2.9968,4.14788,4.36418
266,1,1,2,3.36309,5.49946,3.43653,4.82761,1.15344
267,1,1,2,2.28272,4.59569,3.054,6.33291,1.05494
268,0,1,0,-0.90407,5.18577,2.71823,5.60685,4.47584
269,0,1,2,-1.16026,2.10016,2.74714,5.10524,3.00829
270,0,1,2,-1.90585,2.43835,2.10924,5.49891,3.47735
271,1,0,2,-2.86425,2.42794,1.50703,5.33437,3.59474
272,1,1,1,-1.14918,2.96117,2.57894,4.71134,4.3696
273,1,0,2,-1.57254,3.73405,2.27683,5.47933,4.47718
274,0,0,0,-2.28945,3.5863,1.65967,4.97676,5.05694
275,0,1,2,-0.71739,3.39073,2.68157,4.72244,3.24881
276,1,1,2,0.65103,4.35459,4.35023,5.70334,2.21938
277,0,1,0,-4.74648,2.65118,1.09365,5.79004,4.83989
278,1,1,1,0.44862,5.28798,2.99922,6.96525,1.90835
279,0,1,0,0.7357,4.03511,3.27772,5.36154,1.70154
280,1,1,1,-0.53251,3.36261,3.66591,5.36001,3.61721
281,0,1,0,-3.07053,3.59715,1.49912,5.80827,4.47455
282,1,1,1,-2.16576,4.78675,1.14758,4.69976,2.48068
283,0,1,0,0.88926,3.2473,1.7886,5.06988,0.87203
284,0,1,0,-0.31394,3.9119,2.66405,4.64887,2.73351
285,1,0,1,-2.39766,2.45218,1.5754,4.8486,3.60601
286,1,1,2,0.8217,3.453,3.66993,5.03489,1.5741
287,0,1,1,-2.81188,3.78885,1.24203,4.81635,3.55453
288,0,1,0,0.66254,3.82924,2.82595,5.57293,1.45344
289,1,1,1,-1.75171,2.11215,1.9659,4.79852,3.06476
290,0,0,0,-1.28235,3.88006,1.7101,5.23101,2.18404
291,0,1,0,-0.29231,3.89955,2.80589,4.9679,2.63801
292,1,0,0,-0.1664,3.7371,2.84854,5.48497,2.1244
293,0,1,1,-4.24025,3.94821,1.00599,5.58395,3.0129
294,0,0,1,-0.08976,4.09613,3.15214,6.24548,2.16545
295,0,1,0,-2.50211,3.81403,1.81955,6.27195,4.0366
